invoice_number,invoice_time,store_id,product_id,category_id,num_item,price
10181,7/25/15 12:43,G816,7070884,70203,1,2
10192,7/25/15 12:52,G816,7070884,70203,1,2
10204,7/25/15 12:52,G816,7070884,70203,1,2
10212,7/25/15 12:52,G816,7070884,70203,1,2
10226,7/25/15 12:52,G816,7071096,70201,1,5
10241,7/25/15 12:52,G816,7071102,70201,1,5.5
10253,7/25/15 12:52,G816,7090363,70401,1,6
10266,7/25/15 12:52,G816,7090370,70401,1,6
10278,7/25/15 12:58,G619,7070969,70401,1,5.75
10287,7/25/15 12:58,G619,7070969,70401,1,5.75
10301,7/25/15 14:28,G816,7070884,70203,1,2
10311,7/25/15 14:28,G816,7308765,210301,1,2.5
10321,7/25/15 15:44,G816,7070884,70203,1,2
10331,7/25/15 15:44,G816,7071096,70201,1,5
10343,7/25/15 15:44,G816,7313684,70101,1,2.5
10366,7/25/15 15:48,G300,7000300,210101,1,2
10379,7/25/15 15:48,G300,7000300,210101,1,2
10407,7/25/15 16:24,G816,21050060,210301,1,4
10419,7/25/15 17:51,G300,7000300,210101,1,2
10103,7/25/15 17:53,G619,7071096,70201,1,5
10112,7/25/15 17:53,G619,15000231,70301,2,1.25
10126,7/25/15 17:55,G619,7071102,70201,1,5.5
10139,7/25/15 18:28,G619,7000300,210101,1,2
10150,7/25/15 19:54,G628,7308765,210301,1,2.5
10163,7/25/15 20:05,G628,7000300,210101,1,2
10174,7/25/15 20:08,G816,7000126,210301,2,2
10183,7/25/15 20:08,G816,7000300,210101,1,2
10193,7/25/15 20:30,G619,7071096,70201,1,5
10206,7/25/15 20:36,G619,7070891,70401,1,6
10215,7/25/15 21:03,G619,7308017,210101,1,3.5
10228,7/25/15 21:11,G628,7000300,210101,2,2
10244,7/25/15 21:16,G628,7308017,210101,1,3.5
10257,7/25/15 21:16,G816,15000231,70301,1,2
10270,7/25/15 21:19,G816,7000300,210101,1,2
10280,7/25/15 21:26,G816,7308765,210301,1,2.5
10291,7/25/15 21:31,G619,7070884,70203,1,2
10304,7/25/15 21:31,G619,7070884,70203,1,2
10312,7/25/15 22:57,G619,7070969,70401,1,6
10322,7/25/15 23:03,G628,7000300,210101,1,2
10333,7/25/15 23:25,G628,21000430,210101,2,3.5
10347,7/25/15 23:41,G300,7000133,210301,1,3
10357,7/25/15 23:51,G619,7000300,210101,1,2
10369,7/26/15 0:02,G619,7000300,210101,1,2
